region,timepoint,strata_level,focal_cell_type,neighbor_cell_type,log2_enrichment,enrichment_score,range_min,range_max,mouse_values,n_focal_cells,n_rois,n_mice,n_mice_effective,n_clipped_extremes,below_min_support,insufficient_support
pooled,pooled,pooled,activated_fibroblast_cd140b,activated_fibroblast_cd140b,0.556457441322283,1.4706535687191102,0.22662799848019818,0.886286884164368,"[0.22662799848019818, 0.886286884164368]",400,24,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd140b,activated_fibroblast_cd44,0.3449698264257941,1.2701244179544093,-0.12848185182185243,0.8184215046734407,"[0.8184215046734407, -0.12848185182185243]",327,20,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd140b,activated_immune,0.5880265214145425,1.50318911130335,0.2568035726555683,0.9192494701735167,"[0.9192494701735167, 0.2568035726555683]",272,15,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd140b,activated_m2_cd140b,0.6081985603158593,1.524354615150378,0.18234652072215551,1.034050599909563,"[0.18234652072215551, 1.034050599909563]",344,21,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd140b,activated_m2_cd44,-0.7139430820937247,0.6096515988350222,-0.8245135262004278,-0.6033726379870216,"[-0.8245135262004278, -0.6033726379870216]",400,24,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd140b,activated_myeloid_cd140b,0.874312625045325,1.8331344776997176,0.5812970482338474,1.1673282018568025,"[0.5812970482338474, 1.1673282018568025]",294,18,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd140b,activated_myeloid_cd44,-0.17068259234780994,0.8884222363131228,-0.4005618636357955,0.05919667894017559,"[0.05919667894017559, -0.4005618636357955]",400,24,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd140b,endothelial,0.039153248503125,1.0275105796275072,0.01872891285567092,0.05957758415057909,"[0.05957758415057909, 0.01872891285567092]",400,24,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd140b,fibroblast,0.5404717888094835,1.4544480718332589,0.4684772513405094,0.6124663262784578,"[0.6124663262784578, 0.4684772513405094]",400,24,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd140b,immune_cells,0.02933352539649774,1.020540562779538,-0.04593837048962777,0.10460542128262325,"[0.10460542128262325, -0.04593837048962777]",400,24,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd140b,m2_macrophage,-0.10500771739891848,0.9297999688271137,-0.33155256933015326,0.12153713453231628,"[0.12153713453231628, -0.33155256933015326]",400,24,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd140b,myeloid,-0.12114347920172228,0.9194585994201135,-0.13160531936727823,-0.11068163903616633,"[-0.11068163903616633, -0.13160531936727823]",377,23,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd140b,neutrophil,-0.26241021259780306,0.8336939594929412,-0.3017004013811876,-0.22312002381441856,"[-0.3017004013811876, -0.22312002381441856]",400,24,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd44,activated_endothelial_cd140b,-0.13710746911599753,0.9093405107618774,-0.22558761655012904,-0.04862732168186601,"[-0.04862732168186601, -0.22558761655012904]",79,20,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd44,activated_endothelial_cd44,1.141308689176253,2.2058102463203224,1.1389340029228687,1.143683375429637,"[1.143683375429637, 1.1389340029228687]",79,20,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd44,activated_fibroblast_cd140b,0.3704955821163596,1.2927968447563216,-0.17459712951950174,0.9155882937522208,"[0.9155882937522208, -0.17459712951950174]",79,20,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd44,activated_fibroblast_cd44,1.7468291315415372,3.3562010265377924,1.3345175197644001,2.159140743318674,"[2.159140743318674, 1.3345175197644001]",79,20,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd44,activated_immune,,,,,[0.6959296758197646],44,12,2,1,0,False,True
pooled,pooled,pooled,activated_fibroblast_cd44,activated_m2_cd140b,1.7079118253365753,3.266876293329893,1.4147486945213934,2.0010749561517573,"[2.0010749561517573, 1.4147486945213934]",68,17,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd44,activated_m2_cd44,-0.04744375203646549,0.967649346233156,-0.28389076416583897,0.189003260092908,"[0.189003260092908, -0.28389076416583897]",79,20,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd44,activated_myeloid_cd140b,,,,,[2.7570232465074596],60,15,2,1,0,False,True
pooled,pooled,pooled,activated_fibroblast_cd44,activated_myeloid_cd44,0.6164287383496818,1.533075490018669,0.5531554600102723,0.6797020166890914,"[0.6797020166890914, 0.5531554600102723]",79,20,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd44,endothelial,-0.27355699566643654,0.8272773591914244,-0.4823639335795782,-0.06475005775329487,"[-0.4823639335795782, -0.06475005775329487]",79,20,2,2,0,False,False
