focal_cell_type,neighbor_cell_type,timepoint,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,fraction_significant_raw,n_focal_cells,n_rois,fraction_significant_fdr
activated_endothelial_cd44,activated_myeloid_cd44,D3,0.01406003159557662,0.020134533830734824,0.7133734731385971,-0.6132061048572487,0.16666666666666666,633.0,6.0,0.0
activated_endothelial_cd44,activated_myeloid_cd44,D7,0.011854684512428298,0.022731534122879052,0.5186113558899327,,0.5,523.0,6.0,0.16666666666666666
activated_endothelial_cd44,activated_myeloid_cd44,Sham,0.04268142681426815,0.05422689871801004,0.7844198024669672,-0.3754658036566736,0.16666666666666666,813.0,6.0,0.16666666666666666
activated_endothelial_cd44,endothelial,D1,0.13150057273768614,0.12977661156819403,1.0117560362930569,0.004436649939728123,0.16666666666666666,873.0,6.0,0.0
activated_endothelial_cd44,endothelial,D3,0.1838862559241706,0.18960585608469788,0.9683798934293169,-0.051657033334975434,0.0,633.0,6.0,0.0
activated_endothelial_cd44,endothelial,D7,0.18164435946462718,0.1988843117698377,0.9234787760128917,-0.13956484186188828,0.3333333333333333,523.0,6.0,0.3333333333333333
activated_endothelial_cd44,endothelial,Sham,0.128290282902829,0.11746846784200292,1.106359772733225,0.12435653725675992,0.3333333333333333,813.0,6.0,0.16666666666666666
activated_endothelial_cd44,fibroblast,D1,0.04650630011454753,0.06470195580245858,0.7198516033923401,-0.47519441300777326,0.6666666666666666,873.0,6.0,0.16666666666666666
activated_endothelial_cd44,fibroblast,D3,0.0382306477093207,0.054306530688186375,0.6861812759760871,-0.5747509189073443,0.3333333333333333,633.0,6.0,0.0
activated_endothelial_cd44,fibroblast,D7,0.03938814531548757,0.04670928287090639,0.8239863007832082,-0.3316570658836058,0.16666666666666666,523.0,6.0,0.0
activated_endothelial_cd44,fibroblast,Sham,0.05030750307503075,0.0768827646704893,0.6787682544834404,-0.6300915145296189,0.5,813.0,6.0,0.3333333333333333
activated_endothelial_cd44,immune_cells,D1,0.05120274914089347,0.06868357049110474,0.7544003810109278,-0.4143549278068079,0.6666666666666666,873.0,6.0,0.16666666666666666
activated_endothelial_cd44,immune_cells,D3,0.030015797788309637,0.050005627546793455,0.5923947926217421,-0.8390677053757195,0.5,633.0,6.0,0.3333333333333333
activated_endothelial_cd44,immune_cells,D7,0.01644359464627151,0.03329765446340508,0.5880952562273883,-1.0162771082212188,0.16666666666666666,523.0,6.0,0.16666666666666666
activated_endothelial_cd44,immune_cells,Sham,0.04624846248462485,0.06423575473918447,0.7333593907647541,-0.48316719298160743,0.3333333333333333,813.0,6.0,0.3333333333333333
activated_endothelial_cd44,m2_macrophage,D1,0.014432989690721647,0.02382993720845558,0.7947670680517047,-0.4686296483025979,0.16666666666666666,873.0,6.0,0.16666666666666666
activated_endothelial_cd44,m2_macrophage,D3,0.014849921011058453,0.0216580820114347,0.6985432616356787,-0.7532411268401773,0.16666666666666666,633.0,6.0,0.0
activated_endothelial_cd44,m2_macrophage,D7,0.010898661567877627,0.028050826079212648,0.5434736286597825,-1.4563235720924037,0.16666666666666666,523.0,6.0,0.16666666666666666
activated_endothelial_cd44,m2_macrophage,Sham,0.015252152521525215,0.021276939690659757,0.7112648794635588,-0.5214487492680424,0.16666666666666666,813.0,6.0,0.0
activated_endothelial_cd44,myeloid,D1,0.011225658648339059,0.016705585306126203,0.7386429340037588,-0.5691114487208511,0.16666666666666666,873.0,6.0,0.16666666666666666
activated_endothelial_cd44,myeloid,D3,0.008846761453396525,0.01119734295634619,0.8130691592066001,-0.3888411511651618,0.0,633.0,6.0,0.0
activated_endothelial_cd44,myeloid,D7,0.0063097514340344175,0.017314548179972335,0.4488580837051201,,0.3333333333333333,523.0,6.0,0.16666666666666666
