focal_cell_type,neighbor_cell_type,timepoint,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support
activated_fibroblast_cd140b,activated_fibroblast_cd44,D1,0.995618456450758,-0.0063351201096171,92,4,2,False,False
activated_fibroblast_cd140b,activated_immune,D1,1.1124164889654304,0.1536970345260673,105,5,2,False,False
activated_fibroblast_cd140b,activated_m2_cd140b,D1,1.5511479960525751,0.6333363414256357,117,5,2,False,False
activated_fibroblast_cd140b,activated_m2_cd44,D1,0.6228139414038684,-0.6831268560434536,132,6,2,False,False
activated_fibroblast_cd140b,activated_myeloid_cd140b,D1,1.4601395112305344,0.5461062201633118,111,5,2,False,False
activated_fibroblast_cd140b,activated_myeloid_cd44,D1,0.9182722695100288,-0.1230061159401211,132,6,2,False,False
activated_fibroblast_cd140b,endothelial,D1,1.0739734498483786,0.102958328290237,132,6,2,False,False
activated_fibroblast_cd140b,fibroblast,D1,1.0044640066073358,0.0064258682827924,132,6,2,False,False
activated_fibroblast_cd140b,immune_cells,D1,1.0943617553187348,0.1300897183261244,132,6,2,False,False
activated_fibroblast_cd140b,m2_macrophage,D1,1.1947580274657357,0.2567184609479285,132,6,2,False,False
activated_fibroblast_cd140b,myeloid,D1,1.062539413777083,0.0875163574913825,132,6,2,False,False
activated_fibroblast_cd140b,neutrophil,D1,0.7988890364695593,-0.3239329642652307,132,6,2,False,False
activated_fibroblast_cd44,activated_endothelial_cd140b,D1,,,10,4,2,True,False
activated_fibroblast_cd44,activated_endothelial_cd44,D1,,,10,4,0,True,True
activated_fibroblast_cd44,activated_fibroblast_cd140b,D1,,,10,4,2,True,False
activated_fibroblast_cd44,activated_fibroblast_cd44,D1,,,10,4,0,True,True
activated_fibroblast_cd44,activated_immune,D1,,,7,3,1,True,True
activated_fibroblast_cd44,activated_m2_cd140b,D1,,,8,3,1,True,True
activated_fibroblast_cd44,activated_m2_cd44,D1,,,10,4,2,True,False
activated_fibroblast_cd44,activated_myeloid_cd140b,D1,,,8,3,0,True,True
activated_fibroblast_cd44,activated_myeloid_cd44,D1,,,10,4,0,True,True
activated_fibroblast_cd44,endothelial,D1,,,10,4,2,True,False
activated_fibroblast_cd44,fibroblast,D1,,,10,4,2,True,False
activated_fibroblast_cd44,immune_cells,D1,,,10,4,2,True,False
activated_fibroblast_cd44,m2_macrophage,D1,,,10,4,2,True,False
activated_fibroblast_cd44,myeloid,D1,,,10,4,2,True,False
activated_fibroblast_cd44,neutrophil,D1,,,10,4,2,True,False
activated_immune,activated_endothelial_cd140b,D1,,,14,5,2,True,False
activated_immune,activated_endothelial_cd44,D1,,,14,5,2,True,False
activated_immune,activated_fibroblast_cd140b,D1,,,14,5,2,True,False
activated_immune,activated_fibroblast_cd44,D1,,,9,3,0,True,True
activated_immune,activated_immune,D1,,,14,5,2,True,False
activated_immune,activated_m2_cd140b,D1,,,12,4,0,True,True
activated_immune,activated_m2_cd44,D1,,,14,5,2,True,False
activated_immune,activated_myeloid_cd140b,D1,,,11,4,0,True,True
activated_immune,activated_myeloid_cd44,D1,,,14,5,1,True,True
activated_immune,endothelial,D1,,,14,5,2,True,False
activated_immune,fibroblast,D1,,,14,5,2,True,False
activated_immune,immune_cells,D1,,,14,5,2,True,False
activated_immune,m2_macrophage,D1,,,14,5,1,True,True
activated_immune,myeloid,D1,,,14,5,2,True,False
activated_immune,neutrophil,D1,,,14,5,2,True,False
activated_m2_cd140b,activated_endothelial_cd140b,D1,,,8,5,2,True,False
activated_m2_cd140b,activated_endothelial_cd44,D1,,,8,5,2,True,False
activated_m2_cd140b,activated_fibroblast_cd140b,D1,,,8,5,2,True,False
activated_m2_cd140b,activated_fibroblast_cd44,D1,,,4,3,1,True,True
activated_m2_cd140b,activated_immune,D1,,,6,4,0,True,True
activated_m2_cd140b,activated_m2_cd140b,D1,,,8,5,0,True,True
activated_m2_cd140b,activated_m2_cd44,D1,,,8,5,1,True,True
activated_m2_cd140b,activated_myeloid_cd140b,D1,,,7,4,1,True,True
activated_m2_cd140b,activated_myeloid_cd44,D1,,,8,5,1,True,True
activated_m2_cd140b,endothelial,D1,,,8,5,1,True,True
activated_m2_cd140b,fibroblast,D1,,,8,5,2,True,False
activated_m2_cd140b,immune_cells,D1,,,8,5,2,True,False
activated_m2_cd140b,m2_macrophage,D1,,,8,5,1,True,True
activated_m2_cd140b,myeloid,D1,,,8,5,1,True,True
activated_m2_cd140b,neutrophil,D1,,,8,5,2,True,False
activated_m2_cd44,activated_endothelial_cd140b,D1,0.4757508187558503,-1.0717219555420567,90,6,2,False,False
activated_m2_cd44,activated_endothelial_cd44,D1,0.6538088679749374,-0.613059149570651,90,6,2,False,False
activated_m2_cd44,activated_fibroblast_cd140b,D1,0.703012816861331,-0.508377103094922,90,6,2,False,False
activated_m2_cd44,activated_fibroblast_cd44,D1,1.071091009130599,0.09908106911068,65,4,2,False,False
activated_m2_cd44,activated_immune,D1,0.6398784606817489,-0.6441301910609837,72,5,2,False,False
activated_m2_cd44,activated_m2_cd140b,D1,,,78,5,1,False,True
activated_m2_cd44,activated_m2_cd44,D1,1.7505967247141765,0.8078467763681442,90,6,2,False,False
activated_m2_cd44,activated_myeloid_cd140b,D1,1.3199293584717309,0.4004607198036929,84,5,2,False,False
activated_m2_cd44,activated_myeloid_cd44,D1,1.3019416593611248,0.380664802085608,90,6,2,False,False
activated_m2_cd44,endothelial,D1,0.6499567920274698,-0.6215842813611028,90,6,2,False,False
activated_m2_cd44,fibroblast,D1,0.7930070828861193,-0.3345943432089971,90,6,2,False,False
activated_m2_cd44,immune_cells,D1,1.0087338808751545,0.0125456200534602,90,6,2,False,False
activated_m2_cd44,m2_macrophage,D1,0.992680987830258,-0.0105979332457475,90,6,2,False,False
activated_m2_cd44,myeloid,D1,1.042286980865306,0.0597525605986825,90,6,2,False,False
activated_m2_cd44,neutrophil,D1,0.9758827371402742,-0.0352202920888268,90,6,2,False,False
activated_myeloid_cd140b,activated_endothelial_cd140b,D1,,,9,5,1,True,True
activated_myeloid_cd140b,activated_endothelial_cd44,D1,,,9,5,1,True,True
activated_myeloid_cd140b,activated_fibroblast_cd140b,D1,,,9,5,2,True,False
activated_myeloid_cd140b,activated_fibroblast_cd44,D1,,,6,3,0,True,True
activated_myeloid_cd140b,activated_immune,D1,,,7,4,1,True,True
activated_myeloid_cd140b,activated_m2_cd140b,D1,,,6,4,1,True,True
activated_myeloid_cd140b,activated_m2_cd44,D1,,,9,5,1,True,True
activated_myeloid_cd140b,activated_myeloid_cd140b,D1,,,9,5,1,True,True
activated_myeloid_cd140b,activated_myeloid_cd44,D1,,,9,5,2,True,False
activated_myeloid_cd140b,endothelial,D1,,,9,5,2,True,False
activated_myeloid_cd140b,fibroblast,D1,,,9,5,2,True,False
activated_myeloid_cd140b,immune_cells,D1,,,9,5,2,True,False
activated_myeloid_cd140b,m2_macrophage,D1,,,9,5,1,True,True
