focal_cell_type,neighbor_cell_type,region,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,fraction_significant_raw,n_focal_cells,n_rois,fraction_significant_fdr
activated_fibroblast_cd140b,myeloid,Medulla,0.01937842778793419,0.01908050909089925,1.0140333435872344,-0.1354784360288312,0.08333333333333333,547.0,12.0,0.08333333333333333
activated_fibroblast_cd140b,neutrophil,Cortex,0.1547169811320755,0.1730802295552704,0.9017440208013867,-0.22535006214152725,0.16666666666666666,424.0,12.0,0.08333333333333333
activated_fibroblast_cd140b,neutrophil,Medulla,0.13016453382084095,0.1509607642396834,0.8555035399699354,-0.27954263472407165,0.4166666666666667,547.0,12.0,0.16666666666666666
activated_fibroblast_cd44,activated_endothelial_cd140b,Cortex,0.04905660377358491,0.11203800297522955,0.4466294588938195,-1.2625141237950095,0.8333333333333334,636.0,12.0,0.75
activated_fibroblast_cd44,activated_endothelial_cd140b,Medulla,0.03540802213001383,0.07696661012718857,0.4581970085120424,-1.3926054940689445,0.75,723.0,12.0,0.5
activated_fibroblast_cd44,activated_endothelial_cd44,Cortex,0.144811320754717,0.12296896633451654,1.2985976657460971,0.3139245125534128,0.4166666666666667,636.0,12.0,0.3333333333333333
activated_fibroblast_cd44,activated_endothelial_cd44,Medulla,0.18091286307053944,0.154661415687976,1.1806780969436257,0.21093717722105007,0.25,723.0,12.0,0.25
activated_fibroblast_cd44,activated_fibroblast_cd140b,Cortex,0.0440251572327044,0.042159634939621764,1.0355993333266345,0.00959624894844723,0.0,636.0,12.0,0.0
activated_fibroblast_cd44,activated_fibroblast_cd140b,Medulla,0.04495159059474412,0.05019700738172705,0.9301450579225847,-0.17368277816736477,0.08333333333333333,723.0,12.0,0.0
activated_fibroblast_cd44,activated_fibroblast_cd44,Cortex,0.14716981132075474,0.07162274528902737,2.1171598388694886,1.00698783910283,1.0,636.0,12.0,0.8333333333333334
activated_fibroblast_cd44,activated_fibroblast_cd44,Medulla,0.18644536652835408,0.08367207713500747,2.1419587652286878,1.0462827810097388,0.8333333333333334,723.0,12.0,0.6666666666666666
activated_fibroblast_cd44,activated_immune,Cortex,0.019182389937106917,0.01422751263302138,1.306682872669094,0.16487556100018275,0.25,636.0,12.0,0.0
activated_fibroblast_cd44,activated_immune,Medulla,0.022268326417704012,0.014010500013088416,1.6204090388408185,,0.3333333333333333,723.0,12.0,0.08333333333333333
activated_fibroblast_cd44,activated_m2_cd140b,Cortex,0.016582064297800337,0.01762496890180779,1.3026013747018457,0.1349793290201004,0.18181818181818182,591.0,11.0,0.0
activated_fibroblast_cd44,activated_m2_cd140b,Medulla,0.015629322268326418,0.0196159205505394,0.6437275836099693,,0.16666666666666666,723.0,12.0,0.0
activated_fibroblast_cd44,activated_m2_cd44,Cortex,0.12452830188679245,0.0996589642912412,1.2948933480674722,0.3294099061385808,0.5,636.0,12.0,0.3333333333333333
activated_fibroblast_cd44,activated_m2_cd44,Medulla,0.08644536652835408,0.08237543296111809,0.9747307888571943,-0.14600044240373905,0.25,723.0,12.0,0.16666666666666666
activated_fibroblast_cd44,activated_myeloid_cd140b,Cortex,0.004059040590405905,0.0059981228786874195,0.5532847917764893,,0.0,542.0,11.0,0.0
activated_fibroblast_cd44,activated_myeloid_cd140b,Medulla,0.004287690179806362,0.006566369933762469,0.4834477555639381,,0.0,723.0,12.0,0.0
activated_fibroblast_cd44,activated_myeloid_cd44,Cortex,0.0389937106918239,0.03501967183194013,1.088447276634507,0.004792502297703421,0.08333333333333333,636.0,12.0,0.0
activated_fibroblast_cd44,activated_myeloid_cd44,Medulla,0.03499308437067774,0.030405814592154714,1.0849155788538773,0.0267742381742049,0.08333333333333333,723.0,12.0,0.0
