mean_neighbor_lineage_immune,mean_self_lineage_immune,mean_neighbor_lineage_endothelial,mean_self_lineage_endothelial,mean_neighbor_lineage_stromal,mean_self_lineage_stromal,n_superpixels,roi_id,composite_label,timepoint,region
0.23924473183298184,0.0272602904656813,0.2523317595868263,0.0634263984313491,0.2413221080566976,0.0293112448974846,368,roi_IMC_241218_Alun_ROI_D3_M2_02_19,unassigned,D3,Medulla
0.3205370578334134,0.043624699054651855,0.29340440952314295,0.1330579369494254,0.5386647052323351,0.8791876307968475,54,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_stromal_cd44,D3,Medulla
0.4446984118810676,0.6744295320255638,0.30678888035050533,0.21306274804310793,0.5106060962481728,0.538978856211074,7,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_neutrophil_cd44,D3,Medulla
0.5200131969064914,0.6961682178976836,0.4693971015402174,0.5359205392460447,0.5535720739338515,0.7162395592648887,1001,roi_IMC_241218_Alun_ROI_D3_M2_02_19,mixed,D3,Medulla
0.5372644028844095,0.8808780127535153,0.2538477424343791,0.1463093913895969,0.24261870269079408,0.08478591841112793,96,roi_IMC_241218_Alun_ROI_D3_M2_02_19,non_myeloid_immune,D3,Medulla
0.6117957062156922,0.7548652977766801,0.2680580543677368,0.14488818842178214,0.5082581838843725,0.3795720307916726,15,roi_IMC_241218_Alun_ROI_D3_M2_02_19,neutrophil,D3,Medulla
0.5527829945449937,0.8636175469817439,0.3387278720699499,0.18498398017383513,0.18219745405085147,0.10539953541562642,15,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_non_myeloid_immune_cd140b,D3,Medulla
0.2924804666992689,0.04613969809714472,0.237783704896579,0.09922380507675853,0.6120082725311135,0.8303098284204313,83,roi_IMC_241218_Alun_ROI_D3_M2_02_19,stromal,D3,Medulla
0.267724284761548,0.0261572002710418,0.2559392628725741,0.19210057031159905,0.6039472287684093,0.9104354611236308,46,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_stromal_cd140b_cd44,D3,Medulla
0.6080093825545876,0.839657607912908,0.21444960289171622,0.09626270443751937,0.28356870464182254,0.10071307796443475,29,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_non_myeloid_immune_cd44,D3,Medulla
0.2722661384498801,0.03027314068086965,0.5465539282641585,0.6481727097718235,0.21892705562190498,0.0367190740330397,165,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_endothelial_cd140b,D3,Medulla
0.2206623626784152,0.028859621484053126,0.2919453288935664,0.13735633268056244,0.5631213469046933,0.8881125005605953,18,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_stromal_cd140b,D3,Medulla
0.568264591936,0.7376846393016401,0.5055482297736313,0.39649347865514556,0.3213172013951991,0.12512901086558234,13,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_m2_macrophage_cd140b_cd44,D3,Medulla
0.23227086436042205,0.05010499190913267,0.5374774543789441,0.669900960228411,0.309670455767125,0.06401889890892656,42,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_endothelial_cd44,D3,Medulla
0.5529086829927973,0.8666188347063098,0.27532871933280395,0.20407328276337341,0.16064354621328444,0.03805312419576349,15,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_myeloid_cd140b_cd44,D3,Medulla
