region,timepoint,focal_cell_type,neighbor_cell_type,log2_enrichment,enrichment_score,range_min,range_max,mouse_values,n_focal_cells,n_rois,n_mice,n_mice_effective,n_clipped_extremes,below_min_support,insufficient_support
Medulla,D3,immune,immune,0.23303631668388988,1.1753059137963833,0.14602258121076317,0.3200500521570166,"[0.14602258121076317, 0.3200500521570166]",676,3,2,2,0,False,False
Medulla,D3,immune,stromal,-0.25495850351296667,0.8380112381835118,-0.42059237111853937,-0.08932463590739394,"[-0.08932463590739394, -0.42059237111853937]",676,3,2,2,0,False,False
Medulla,D3,stromal,endothelial,0.04221138274386325,1.0296909420324174,-0.06716285127325898,0.15158561676098548,"[-0.06716285127325898, 0.15158561676098548]",132,3,2,2,0,False,False
Medulla,D3,stromal,immune,-0.20568988684697387,0.867123935291682,-0.21705897703340735,-0.19432079666054036,"[-0.19432079666054036, -0.21705897703340735]",132,3,2,2,0,False,False
Medulla,D3,stromal,stromal,0.7758151295286271,1.712157155029303,0.7686892360906616,0.7829410229665926,"[0.7686892360906616, 0.7829410229665926]",132,3,2,2,0,False,False
Medulla,D7,endothelial,endothelial,0.7005048443832977,1.6250733575213863,0.542399027238309,0.8586106615282866,"[0.542399027238309, 0.8586106615282866]",340,3,2,2,0,False,False
Medulla,D7,endothelial,immune,-0.433234618162069,0.7405994492919867,-0.5095369381657743,-0.35693229815836375,"[-0.35693229815836375, -0.5095369381657743]",340,3,2,2,0,False,False
Medulla,D7,endothelial,stromal,-0.3364316755237027,0.7919977981063603,-0.5181175612665904,-0.15474578978081505,"[-0.5181175612665904, -0.15474578978081505]",340,3,2,2,0,False,False
Medulla,D7,immune,endothelial,-0.5136255635419738,0.7004599339275576,-0.5667812248171731,-0.46046990226677453,"[-0.46046990226677453, -0.5667812248171731]",734,3,2,2,0,False,False
Medulla,D7,immune,immune,0.24759364673668902,1.1872252220103183,0.22061258279941354,0.2745747106739645,"[0.22061258279941354, 0.2745747106739645]",734,3,2,2,0,False,False
Medulla,D7,immune,stromal,-0.39578143224217266,0.760077570945541,-0.6000939239779141,-0.19146894050643126,"[-0.19146894050643126, -0.6000939239779141]",734,3,2,2,0,False,False
Medulla,D7,stromal,endothelial,-0.3182754012809157,0.8020280496995922,-0.34819255982427777,-0.2883582427375536,"[-0.34819255982427777, -0.2883582427375536]",127,3,2,2,0,False,False
Medulla,D7,stromal,immune,-0.22308482508752586,0.8567315806661231,-0.39782565176721796,-0.048343998407833794,"[-0.048343998407833794, -0.39782565176721796]",127,3,2,2,0,False,False
Medulla,D7,stromal,stromal,1.1134959016085355,2.1636931314615806,0.9877342915027395,1.2392575117143316,"[1.2392575117143316, 0.9877342915027395]",127,3,2,2,0,False,False
Medulla,Sham,endothelial,endothelial,0.777870771993656,1.714598482896653,0.6385836152316623,0.9171579287556495,"[0.6385836152316623, 0.9171579287556495]",136,3,2,2,0,False,False
Medulla,Sham,endothelial,immune,-0.3275891944200532,0.7968669708404552,-0.3825712710296246,-0.2726071178104817,"[-0.2726071178104817, -0.3825712710296246]",136,3,2,2,0,False,False
Medulla,Sham,endothelial,stromal,0.16741421415892102,1.1230438144454624,0.09175624339727691,0.24307218492056515,"[0.09175624339727691, 0.24307218492056515]",136,3,2,2,0,False,False
Medulla,Sham,immune,endothelial,-0.3931368804827968,0.7614721192282252,-0.4198330709936598,-0.3664406899719338,"[-0.4198330709936598, -0.3664406899719338]",579,3,2,2,0,False,False
Medulla,Sham,immune,immune,0.1379870263699699,1.1003687141073488,0.09197986075592635,0.18399419198401343,"[0.18399419198401343, 0.09197986075592635]",579,3,2,2,0,False,False
Medulla,Sham,immune,stromal,-0.25162351103329456,0.8399506597730814,-0.40943789963128124,-0.09380912243530783,"[-0.40943789963128124, -0.09380912243530783]",579,3,2,2,0,False,False
Medulla,Sham,stromal,endothelial,-0.013502872711096209,0.9906841854374796,-0.2029870221638549,0.17598127674166247,"[-0.2029870221638549, 0.17598127674166247]",163,3,2,2,0,False,False
Medulla,Sham,stromal,immune,-0.192640886722,0.8750025419947178,-0.26299433152813195,-0.12228744191586804,"[-0.26299433152813195, -0.12228744191586804]",163,3,2,2,0,False,False
Medulla,Sham,stromal,stromal,0.5266584509568377,1.440588658093775,0.23640436663982567,0.8169125352738497,"[0.8169125352738497, 0.23640436663982567]",163,3,2,2,0,False,False
Pooled,D1,endothelial,endothelial,0.3881595438419184,1.3087227916567497,0.14017479513634423,0.6361442925474926,"[0.14017479513634423, 0.6361442925474926]",329,6,2,2,0,False,False
Pooled,D1,endothelial,immune,-0.13863069153177332,0.9083809199636718,-0.23009100046028844,-0.04717038260325818,"[-0.04717038260325818, -0.23009100046028844]",329,6,2,2,0,False,False
Pooled,D1,endothelial,stromal,0.051230269154605684,1.036148130395922,0.021399381105541754,0.08106115720366962,"[0.021399381105541754, 0.08106115720366962]",329,6,2,2,0,False,False
Pooled,D1,immune,endothelial,-0.23434541942508502,0.8500706062665531,-0.3318666969909861,-0.13682414185918398,"[-0.13682414185918398, -0.3318666969909861]",1275,6,2,2,0,False,False
Pooled,D1,immune,immune,0.058926266287243095,1.041690188617313,0.03169651382817353,0.08615601874631267,"[0.03169651382817353, 0.08615601874631267]",1275,6,2,2,0,False,False
Pooled,D1,immune,stromal,-0.0489827013724063,0.9666176872199788,-0.08923651243303292,-0.008728890311779675,"[-0.008728890311779675, -0.08923651243303292]",1275,6,2,2,0,False,False
Pooled,D1,stromal,endothelial,0.01966975938330874,1.0137274056005485,0.01858868576606557,0.020750833000551912,"[0.020750833000551912, 0.01858868576606557]",238,6,2,2,0,False,False
Pooled,D1,stromal,immune,-0.0894130657734506,0.9399050547110064,-0.10989780528810943,-0.06892832625879178,"[-0.06892832625879178, -0.10989780528810943]",238,6,2,2,0,False,False
Pooled,D1,stromal,stromal,0.3316058371130418,1.2584133117907885,0.23279609232335996,0.4304155819027236,"[0.23279609232335996, 0.4304155819027236]",238,6,2,2,0,False,False
Pooled,D3,endothelial,endothelial,0.5546680190401625,1.4688305993302826,0.5008339608456879,0.6085020772346371,"[0.5008339608456879, 0.6085020772346371]",537,6,2,2,0,False,False
Pooled,D3,endothelial,immune,-0.3862999932078461,0.765089276129035,-0.4628484259523354,-0.3097515604633568,"[-0.3097515604633568, -0.4628484259523354]",537,6,2,2,0,False,False
Pooled,D3,endothelial,stromal,0.15463320588922128,1.113138575333706,0.09558561005168222,0.21368080172676032,"[0.09558561005168222, 0.21368080172676032]",537,6,2,2,0,False,False
Pooled,D3,immune,endothelial,-0.4546713913347684,0.7296763546192343,-0.5194739886953655,-0.38986879397417135,"[-0.38986879397417135, -0.5194739886953655]",1253,6,2,2,0,False,False
Pooled,D3,immune,immune,0.17844646084902535,1.1316646170796962,0.1722949833926047,0.184597938305446,"[0.1722949833926047, 0.184597938305446]",1253,6,2,2,0,False,False
Pooled,D3,immune,stromal,-0.2210263504361465,0.857954859971266,-0.2988904934087981,-0.14316220746349487,"[-0.2988904934087981, -0.14316220746349487]",1253,6,2,2,0,False,False
Pooled,D3,stromal,endothelial,0.04426572342999048,1.031158225643216,-0.00766789431082641,0.09619934117080738,"[0.09619934117080738, -0.00766789431082641]",207,6,2,2,0,False,False
Pooled,D3,stromal,immune,-0.18704629335830317,0.8784022815164104,-0.27375386095681287,-0.10033872575979348,"[-0.27375386095681287, -0.10033872575979348]",207,6,2,2,0,False,False
Pooled,D3,stromal,stromal,0.6453489276046789,1.564117535142855,0.5132741966669507,0.777423658542407,"[0.777423658542407, 0.5132741966669507]",207,6,2,2,0,False,False
Pooled,D7,endothelial,endothelial,0.7699867825270857,1.7052541605156022,0.6557196437003446,0.8842539213538269,"[0.6557196437003446, 0.8842539213538269]",722,6,2,2,0,False,False
Pooled,D7,endothelial,immune,-0.6512647304246961,0.636721890292387,-0.7149884147833525,-0.5875410460660397,"[-0.5875410460660397, -0.7149884147833525]",722,6,2,2,0,False,False
