focal_cell_type,neighbor_cell_type,region,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support
activated_myeloid_cd44,activated_m2_cd140b,Cortex,1.3264942843938003,0.4076184592873138,80,11,2,False,False
activated_myeloid_cd44,activated_m2_cd44,Cortex,1.3082429619808713,0.3876304976359022,94,12,2,False,False
activated_myeloid_cd44,activated_myeloid_cd140b,Cortex,,,84,9,1,False,True
activated_myeloid_cd44,activated_myeloid_cd44,Cortex,4.187689728981196,2.066154555200349,94,12,2,False,False
activated_myeloid_cd44,endothelial,Cortex,0.7320569107517917,-0.4499722856296179,94,12,2,False,False
activated_myeloid_cd44,fibroblast,Cortex,1.212537561328802,0.278029439013956,94,12,2,False,False
activated_myeloid_cd44,immune_cells,Cortex,1.0400099360067274,0.056597311596326,94,12,2,False,False
activated_myeloid_cd44,m2_macrophage,Cortex,1.0232017182713902,0.0330905920643339,94,12,2,False,False
activated_myeloid_cd44,myeloid,Cortex,1.5555520893279844,0.6374267058699995,79,11,2,False,False
activated_myeloid_cd44,neutrophil,Cortex,0.94263786205621,-0.0852244649835836,94,12,2,False,False
endothelial,activated_endothelial_cd140b,Cortex,1.4806788487111,0.5662587617513966,729,12,2,False,False
endothelial,activated_endothelial_cd44,Cortex,0.8482601285896493,-0.2374213434508825,729,12,2,False,False
endothelial,activated_fibroblast_cd140b,Cortex,1.1088010800621857,0.1490005678904342,729,12,2,False,False
endothelial,activated_fibroblast_cd44,Cortex,0.6973059936144862,-0.5201362126879572,699,11,2,False,False
endothelial,activated_immune,Cortex,0.888003744115592,-0.171362335422781,307,7,2,False,False
endothelial,activated_m2_cd140b,Cortex,1.0857621946700302,0.1187081564217197,693,11,2,False,False
endothelial,activated_m2_cd44,Cortex,0.7204466517394121,-0.4730364904700119,729,12,2,False,False
endothelial,activated_myeloid_cd140b,Cortex,0.5638041830037489,-0.8267339132252538,540,9,2,False,False
endothelial,activated_myeloid_cd44,Cortex,0.7573585435419307,-0.4009516420613322,729,12,2,False,False
endothelial,endothelial,Cortex,1.5396600233435398,0.6226118205404804,729,12,2,False,False
endothelial,fibroblast,Cortex,1.0232296952142728,0.033130038484568,729,12,2,False,False
endothelial,immune_cells,Cortex,1.1230074607336835,0.1673675123580442,729,12,2,False,False
endothelial,m2_macrophage,Cortex,0.9140514335062208,-0.1296527471350563,729,12,2,False,False
endothelial,myeloid,Cortex,0.8899161522388789,-0.1682586829068823,699,11,2,False,False
endothelial,neutrophil,Cortex,0.7014629291461503,-0.5115612324537205,729,12,2,False,False
fibroblast,activated_endothelial_cd140b,Cortex,1.1034541730965393,0.1420267151461007,163,12,2,False,False
fibroblast,activated_endothelial_cd44,Cortex,0.7148334381448914,-0.484320973214317,163,12,2,False,False
fibroblast,activated_fibroblast_cd140b,Cortex,1.4634945258717296,0.5494173494279215,163,12,2,False,False
fibroblast,activated_fibroblast_cd44,Cortex,1.2611566822729934,0.3347475228478185,150,11,2,False,False
fibroblast,activated_immune,Cortex,1.4988366282148446,0.5838431394504815,112,7,2,False,False
fibroblast,activated_m2_cd140b,Cortex,1.4555403603798949,0.5415548442099902,148,11,2,False,False
fibroblast,activated_m2_cd44,Cortex,0.5385317128039816,-0.8928967908645795,163,12,2,False,False
fibroblast,activated_myeloid_cd140b,Cortex,2.56425004288132,1.358536947618297,122,9,2,False,False
fibroblast,activated_myeloid_cd44,Cortex,0.9042073964910846,-0.1452743758177692,163,12,2,False,False
fibroblast,endothelial,Cortex,1.0422194070414847,0.0596590243820313,163,12,2,False,False
fibroblast,fibroblast,Cortex,1.3107287027114156,0.3903691045098131,163,12,2,False,False
fibroblast,immune_cells,Cortex,1.1056222584000903,0.1448585654844189,163,12,2,False,False
fibroblast,m2_macrophage,Cortex,0.5718734429726037,-0.8062321845924105,163,12,2,False,False
fibroblast,myeloid,Cortex,1.1896633071419844,0.2505533266032055,145,11,2,False,False
fibroblast,neutrophil,Cortex,0.8153510104856878,-0.2945068182823712,163,12,2,False,False
immune_cells,activated_endothelial_cd140b,Cortex,1.0912801286658873,0.1260214851278749,282,12,2,False,False
immune_cells,activated_endothelial_cd44,Cortex,1.2763429378897626,0.3520160158736517,282,12,2,False,False
immune_cells,activated_fibroblast_cd140b,Cortex,0.8699979612672821,-0.2009160746995918,282,12,2,False,False
immune_cells,activated_fibroblast_cd44,Cortex,1.0264181023690688,0.0376185197800852,248,11,2,False,False
immune_cells,activated_immune,Cortex,1.7139505243789506,0.7773254646059904,182,7,2,False,False
immune_cells,activated_m2_cd140b,Cortex,1.166015632225032,0.2215871302042376,261,11,2,False,False
immune_cells,activated_m2_cd44,Cortex,0.8286510369861774,-0.271163415604111,282,12,2,False,False
immune_cells,activated_myeloid_cd140b,Cortex,1.5740114661436284,0.654446050431358,175,9,2,False,False
immune_cells,activated_myeloid_cd44,Cortex,1.0404388685009982,0.0571922013045349,282,12,2,False,False
immune_cells,endothelial,Cortex,1.096671085719736,0.1331308966130115,282,12,2,False,False
immune_cells,fibroblast,Cortex,1.2430329306461332,0.3138645170264053,282,12,2,False,False
immune_cells,immune_cells,Cortex,1.5462231908021198,0.6287485812439183,282,12,2,False,False
immune_cells,m2_macrophage,Cortex,1.2288021946897676,0.2972526978849363,282,12,2,False,False
immune_cells,myeloid,Cortex,1.2559421491001206,0.3287700126940922,254,11,2,False,False
immune_cells,neutrophil,Cortex,0.7472144547013876,-0.4204057309475194,282,12,2,False,False
m2_macrophage,activated_endothelial_cd140b,Cortex,0.8288239803240859,-0.2708623498332787,101,12,2,False,False
m2_macrophage,activated_endothelial_cd44,Cortex,0.7096466669454636,-0.4948272093224648,101,12,2,False,False
m2_macrophage,activated_fibroblast_cd140b,Cortex,1.4214382876475862,0.5073514651516032,101,12,2,False,False
m2_macrophage,activated_fibroblast_cd44,Cortex,1.1837605723583895,0.2433773106954824,96,11,2,False,False
m2_macrophage,activated_immune,Cortex,,,58,7,1,False,True
m2_macrophage,activated_m2_cd140b,Cortex,2.555749617754853,1.3537465049401818,94,11,2,False,False
m2_macrophage,activated_m2_cd44,Cortex,1.8561021147306669,0.8922760835058912,101,12,2,False,False
m2_macrophage,activated_myeloid_cd140b,Cortex,,,67,9,1,False,True
m2_macrophage,activated_myeloid_cd44,Cortex,1.0014837762130606,0.0021390500407391,101,12,2,False,False
m2_macrophage,endothelial,Cortex,0.8589600005228206,-0.2193371444211503,101,12,2,False,False
m2_macrophage,fibroblast,Cortex,0.7923380113789942,-0.3358120795947599,101,12,2,False,False
m2_macrophage,immune_cells,Cortex,1.2153455069783317,0.281366511645448,101,12,2,False,False
m2_macrophage,m2_macrophage,Cortex,1.2581645440789164,0.3313206117268427,101,12,2,False,False
m2_macrophage,myeloid,Cortex,1.0857490745315208,0.1186907230710093,93,11,2,False,False
m2_macrophage,neutrophil,Cortex,1.0450574542564894,0.0635822597151291,101,12,2,False,False
myeloid,activated_endothelial_cd140b,Cortex,0.8212510855648513,-0.2841047224350528,75,11,2,False,False
myeloid,activated_endothelial_cd44,Cortex,1.1061283566737354,0.1455188076268714,75,11,2,False,False
myeloid,activated_fibroblast_cd140b,Cortex,0.9321748998965528,-0.1013274280545848,75,11,2,False,False
myeloid,activated_fibroblast_cd44,Cortex,2.369997469027755,1.2448855184387009,63,10,2,False,False
myeloid,activated_immune,Cortex,1.45231116550996,0.5383505916554547,53,6,2,False,False
myeloid,activated_m2_cd140b,Cortex,2.6736894669137454,1.418831914736018,69,10,2,False,False
myeloid,activated_m2_cd44,Cortex,1.413402801390849,0.4991726735666997,75,11,2,False,False
myeloid,activated_myeloid_cd140b,Cortex,4.74092207595094,2.245167680437639,55,8,2,False,False
myeloid,activated_myeloid_cd44,Cortex,1.6614888348911847,0.7324765982353368,75,11,2,False,False
myeloid,endothelial,Cortex,0.887582550813263,-0.1720467893427723,75,11,2,False,False
myeloid,fibroblast,Cortex,1.1226902757685426,0.1669599764979345,75,11,2,False,False
myeloid,immune_cells,Cortex,1.3112616585052008,0.3909555999467677,75,11,2,False,False
myeloid,m2_macrophage,Cortex,1.111568928634371,0.1525974129763987,75,11,2,False,False
myeloid,myeloid,Cortex,1.5823945526609775,0.6621093647899694,75,11,2,False,False
myeloid,neutrophil,Cortex,0.8603127805577843,-0.2170668246998224,75,11,2,False,False
