cell_type,comparison,timepoint_1,timepoint_2,n_mice_1,n_mice_2,mean_1,mean_2,std_1,std_2,fold_change,log2_fc,u_statistic,p_value_raw,hedges_g,bootstrap_range_min,bootstrap_range_max,hedges_g_clr,p_value_fdr,significant_fdr
activated_fibroblast_cd44,Sham_vs_D7,Sham,D7,2,2,0.014618307051701765,0.030262843605321915,0.005692701102413502,0.009000077872238478,2.0701284608287263,1.0497202962512464,0.0,0.3333333333333333,-1.1871820778919122,-3.1242807320627195,-1.0432934915846659,-1.4262660689984608,0.5,False
activated_fibroblast_cd44,D1_vs_D3,D1,D3,2,2,0.02173041532727465,0.026707981876124633,0.0013021079039949692,0.003025766914259914,1.2290493497035484,0.2975428450378249,0.0,0.3333333333333333,-1.2211362882659322,-4.417061642621456,-1.0835003638656704,-26.663409245061633,0.5,False
activated_fibroblast_cd44,D1_vs_D7,D1,D7,2,2,0.02173041532727465,0.030262843605321915,0.0013021079039949692,0.009000077872238478,1.3926310435629283,0.477813088429381,0.0,0.3333333333333333,-0.7582370742052422,-9.24512086392234,-0.6834587141263636,-0.9997507271960715,0.5,False
activated_fibroblast_cd44,D3_vs_D7,D3,D7,2,2,0.026707981876124633,0.030262843605321915,0.003025766914259914,0.009000077872238478,1.1330961152201386,0.18027024339155612,2.0,1.0,-0.3025524944144477,-2.6491345716441757,0.7502691412072854,-0.042884301612224784,1.0,False
activated_fibroblast_cd140b,Sham_vs_D1,Sham,D1,2,2,0.018756365231281893,0.0183569950020481,0.002489000344897558,0.002603464085054043,0.9787086179583602,-0.031048691644245396,3.0,0.6666666666666666,0.08960452688596265,-0.468040867351843,0.7273738025880722,0.3972648353251112,0.7792207792207793,False
activated_fibroblast_cd140b,Sham_vs_D3,Sham,D3,2,2,0.018756365231281893,0.01624850452958311,0.002489000344897558,0.0015618584258621033,0.866299948272245,-0.20706146374458986,3.0,0.6666666666666666,0.6897014629507302,0.3869567010589877,2.2082304961982238,2.0590340123754753,0.7792207792207793,False
activated_fibroblast_cd140b,Sham_vs_D7,Sham,D7,2,2,0.018756365231281893,0.013388608467010961,0.002489000344897558,0.0010058550338996079,0.7138320495397158,-0.48634341810955,4.0,0.3333333333333333,1.6158331782416715,1.5118632770787692,5.72655923608713,6.373373139058122,0.5,False
activated_fibroblast_cd140b,D1_vs_D3,D1,D3,2,2,0.0183569950020481,0.01624850452958311,0.002603464085054043,0.0015618584258621033,0.8851459283963333,-0.1760127721003444,3.0,0.6666666666666666,0.5612336975965396,0.13844010844472346,2.0434703445454865,0.7474917336902879,0.7792207792207793,False
activated_fibroblast_cd140b,D1_vs_D7,D1,D7,2,2,0.0183569950020481,0.013388608467010961,0.002603464085054043,0.0010058550338996079,0.7293611565705925,-0.45529472646530467,4.0,0.3333333333333333,1.4385667535862021,1.3214272304403465,5.470725122390356,3.4167455110121043,0.5,False
activated_fibroblast_cd140b,D3_vs_D7,D3,D7,2,2,0.01624850452958311,0.013388608467010961,0.0015618584258621033,0.0010058550338996079,0.8240010298550609,-0.2792819543649601,4.0,0.3333333333333333,1.2440720324996626,1.111733748701176,3.184987347981489,10.384286935870337,0.5,False
fibroblast,Sham_vs_D1,Sham,D1,2,2,0.02413089239448806,0.021830895423638322,0.0029679107681794647,0.0005152949528608473,0.9046905674345258,-0.1445036653028773,3.0,0.6666666666666666,0.6170271445479668,0.31579820986267265,6.898238037664548,0.44162456525016447,0.7792207792207793,False
fibroblast,Sham_vs_D3,Sham,D3,2,2,0.02413089239448806,0.01819843022347415,0.0029679107681794647,0.003621548711880204,0.7541650661276387,-0.40704777030498435,4.0,0.3333333333333333,1.0238844480073672,0.8554915706244308,2.312606526579105,0.9670906550872966,0.5,False
