k,scale_um,region,timepoint,category,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support,mouse_values
20,10.0,Pooled,D7,none,1.8572448723324728,0.8931640429574872,2122,6,2,False,False,"[0.8302807224982324, 0.9560473634167419]"
20,10.0,Pooled,D7,stromal,2.779370426950852,1.4747581258342135,391,6,2,False,False,"[1.195879383632797, 1.75363686803563]"
20,10.0,Pooled,Sham,endothelial,1.2612874773975546,0.33489713763871287,2032,6,2,False,False,"[0.3910466895513461, 0.27874758572607966]"
20,10.0,Pooled,Sham,endothelial+immune,1.1993259397545126,0.26222379200021967,1172,6,2,False,False,"[0.3193664842132236, 0.20508109978721575]"
20,10.0,Pooled,Sham,endothelial+immune+stromal,1.4069645599628569,0.49258598897972183,2954,6,2,False,False,"[0.6475147770182721, 0.33765720094117163]"
20,10.0,Pooled,Sham,endothelial+stromal,1.306618000810032,0.38583742048347025,1434,6,2,False,False,"[0.43598143821281005, 0.33569340275413045]"
20,10.0,Pooled,Sham,immune,1.385533786558003,0.4704418916965307,1163,6,2,False,False,"[0.4719422333303615, 0.46894155006269994]"
20,10.0,Pooled,Sham,immune+stromal,1.5052496096263472,0.590002743271076,1269,6,2,False,False,"[0.6549902313287798, 0.5250152552133723]"
20,10.0,Pooled,Sham,none,1.2098162392786989,0.27478793112438826,3620,6,2,False,False,"[0.3239724725680924, 0.22560338968068416]"
20,10.0,Pooled,Sham,stromal,1.4810521898407718,0.5666224797205026,931,6,2,False,False,"[0.719319419598023, 0.41392553984298214]"
20,20.0,Cortex,D1,endothelial,1.103699195929891,0.14234703110872834,220,3,2,False,False,"[-0.029237744469612227, 0.31393180668706894]"
20,20.0,Cortex,D1,endothelial+immune,1.0717672654395687,0.09999165817509713,126,3,2,False,False,"[-0.10021437930304586, 0.3001976956532401]"
20,20.0,Cortex,D1,endothelial+immune+stromal,1.0708098996968896,0.0987023819486207,524,3,2,False,False,"[0.14325458613353295, 0.054150177763708444]"
20,20.0,Cortex,D1,endothelial+stromal,1.181933215010653,0.2411485185145837,137,3,2,False,False,"[0.08298074220915214, 0.39931629482001524]"
20,20.0,Cortex,D1,immune,1.268862744318584,0.34353601811475304,93,3,2,False,False,"[0.032100865941294715, 0.6549711702882114]"
20,20.0,Cortex,D1,immune+stromal,1.7359897666212616,0.7957584433536641,78,3,2,False,False,"[0.7953555708313079, 0.7961613158760202]"
20,20.0,Cortex,D1,none,1.073999122427121,0.10299281448667957,462,3,2,False,False,"[0.0818771332501654, 0.12410849572319377]"
20,20.0,Cortex,D1,stromal,1.3307235385247445,0.41221087851687477,80,3,2,False,False,"[0.32556978866282005, 0.4988519683709295]"
20,20.0,Cortex,D3,endothelial,1.0242966926090216,0.034633659633035684,228,3,2,False,False,"[-0.11087743312446392, 0.1801447523905353]"
20,20.0,Cortex,D3,endothelial+immune,1.2337136455408273,0.3030075726891974,122,3,2,False,False,"[0.32403987136721435, 0.2819752740111805]"
20,20.0,Cortex,D3,endothelial+immune+stromal,1.0287059092537718,0.040830597486194095,728,3,2,False,False,"[0.057047990671499973, 0.024613204300888224]"
20,20.0,Cortex,D3,endothelial+stromal,1.1577874888136122,0.21137047183309918,146,3,2,False,False,"[0.0637573648882598, 0.3589835787779386]"
20,20.0,Cortex,D3,immune,1.3021048558221244,0.38084563044171493,38,3,2,False,False,"[0.3164354110105002, 0.4452558498729297]"
20,20.0,Cortex,D3,immune+stromal,1.7067537973607378,0.7712549617374714,95,3,2,False,False,"[0.4957591104550622, 1.0467508130198806]"
20,20.0,Cortex,D3,none,0.9938822936305753,-0.008853092647777134,285,3,2,False,False,"[0.008063639599043335, -0.025769824894597605]"
20,20.0,Cortex,D3,stromal,1.1451323327916065,0.1955143274318663,62,3,2,False,False,"[0.47194932325270134, -0.08092066838896869]"
20,20.0,Cortex,D7,endothelial,1.971284423988893,0.9791359486160051,180,3,2,False,False,"[0.7673824654840664, 1.1908894317479437]"
20,20.0,Cortex,D7,endothelial+immune,1.8430669243733935,0.8821084582223581,97,3,2,False,False,"[1.063663713243291, 0.7005532032014252]"
20,20.0,Cortex,D7,endothelial+immune+stromal,1.123353133804242,0.16781152017211698,941,3,2,False,False,"[0.09294587959646623, 0.24267716074776774]"
20,20.0,Cortex,D7,endothelial+stromal,3.261214225612178,1.7054092132658072,91,3,2,False,False,"[1.3832809815133291, 2.0275374450182855]"
20,20.0,Cortex,D7,immune,0.6215166933624195,-0.6861349536373635,47,3,2,False,False,"[-1.5044311624091442, 0.1321612551344171]"
20,20.0,Cortex,D7,immune+stromal,1.9068793498069274,0.9312135657578355,189,3,2,False,False,"[1.0921485601660634, 0.7702785713496075]"
20,20.0,Cortex,D7,none,1.4192655742158027,0.50514457301714,210,3,2,False,False,"[0.3520380956552352, 0.6582510503790447]"
20,20.0,Cortex,D7,stromal,,,21,3,1,False,True,[0.7796099315746999]
20,20.0,Cortex,Sham,endothelial,1.144888384691614,0.19520695666204074,240,3,2,False,False,"[0.1836459948618864, 0.20676791846219508]"
20,20.0,Cortex,Sham,endothelial+immune,1.062616026344231,0.08762037677266005,128,3,2,False,False,"[0.1015896222276445, 0.07365113131767559]"
20,20.0,Cortex,Sham,endothelial+immune+stromal,1.1270630093992446,0.17256817283645032,452,3,2,False,False,"[0.1996153084495189, 0.14552103722338175]"
20,20.0,Cortex,Sham,endothelial+stromal,1.1634537698062524,0.21841388595053624,95,3,2,False,False,"[0.3123159532295543, 0.12451181867151818]"
20,20.0,Cortex,Sham,immune,1.2057702478271526,0.26995503667625864,102,3,2,False,False,"[0.0245058995926965, 0.5154041737598208]"
20,20.0,Cortex,Sham,immune+stromal,1.3541195431098443,0.43735510718385306,123,3,2,False,False,"[0.0641528602717581, 0.810557354095948]"
20,20.0,Cortex,Sham,none,1.0242079855864612,0.034508712706643914,494,3,2,False,False,"[0.04775760426663979, 0.02125982114664804]"
20,20.0,Cortex,Sham,stromal,1.2190054640110766,0.28570459263902465,76,3,2,False,False,"[0.2609254343167443, 0.310483750961305]"
20,20.0,Medulla,D1,endothelial,1.0689763876078613,0.09622998602634382,140,3,2,False,False,"[0.05968241665036907, 0.13277755540231856]"
20,20.0,Medulla,D1,endothelial+immune,1.3596393461327407,0.4432240172490859,84,3,2,False,False,"[0.2582173895360179, 0.6282306449621539]"
20,20.0,Medulla,D1,endothelial+immune+stromal,1.2049934018727486,0.26902524677762174,551,3,2,False,False,"[0.4159148530595011, 0.12213564049574235]"
20,20.0,Medulla,D1,endothelial+stromal,1.1998195248359718,0.26281741399591313,192,3,2,False,False,"[0.3591544182635445, 0.16648040972828174]"
20,20.0,Medulla,D1,immune,1.246354177371429,0.3177140983210871,113,3,2,False,False,"[0.25962558392882623, 0.3758026127133479]"
20,20.0,Medulla,D1,immune+stromal,1.823236102656575,0.8665013974033866,145,3,2,False,False,"[0.6913763322646974, 1.0416264625420757]"
20,20.0,Medulla,D1,none,1.2045777134290845,0.268527472166721,431,3,2,False,False,"[0.5050514111971663, 0.032003533136275686]"
20,20.0,Medulla,D1,stromal,1.3123978100438198,0.3922050915919841,117,3,2,False,False,"[0.8050949429402056, -0.020684759756237427]"
20,20.0,Medulla,D3,endothelial,1.2684160549363772,0.34302804353712724,164,3,2,False,False,"[0.34113671451123323, 0.3449193725630213]"
20,20.0,Medulla,D3,endothelial+immune,1.3559971827872506,0.4393541811415985,161,3,2,False,False,"[0.6090102261683922, 0.2696981361148048]"
20,20.0,Medulla,D3,endothelial+immune+stromal,1.0354234666487536,0.05022092065949435,565,3,2,False,False,"[0.04866076541538547, 0.05178107590360324]"
20,20.0,Medulla,D3,endothelial+stromal,1.4870495914182913,0.5724527604369012,137,3,2,False,False,"[0.7410924592572128, 0.40381306161658964]"
20,20.0,Medulla,D3,immune,1.8275096770878976,0.869879045603024,89,3,2,False,False,"[0.8392937647569624, 0.9004643264490856]"
20,20.0,Medulla,D3,immune+stromal,1.0911367206517266,0.12583188429042197,131,3,2,False,False,"[0.4245927008804419, -0.17292893229959794]"
20,20.0,Medulla,D3,none,1.0919321832598714,0.12688325743647047,330,3,2,False,False,"[0.1808833314929853, 0.07288318337995564]"
20,20.0,Medulla,D3,stromal,1.5745349219160611,0.6549257556418863,90,3,2,False,False,"[0.7678411557471632, 0.5420103555366094]"
20,20.0,Medulla,D7,endothelial,1.5870996716666272,0.6663927339095758,223,3,2,False,False,"[0.25825405527185175, 1.0745314125472998]"
