compartment,timepoint,mouse,region,cd44_rate,n_support,scale_um
CD206,D7,MS1,pooled,0.6349589534978933,1206,20.0
CD206,D7,MS2,pooled,0.5836822214965348,897,20.0
CD206,Sham,MS1,pooled,0.5022996818808337,519,20.0
CD206,Sham,MS2,pooled,0.40374493439987685,367,20.0
CD31,D1,MS1,pooled,0.585546398046398,507,20.0
CD31,D1,MS2,pooled,0.617846990483253,579,20.0
CD31,D3,MS1,pooled,0.44423772390800703,705,20.0
CD31,D3,MS2,pooled,0.5765169883179825,904,20.0
CD31,D7,MS1,pooled,0.5548964483439242,1207,20.0
CD31,D7,MS2,pooled,0.542459572302126,848,20.0
CD31,Sham,MS1,pooled,0.5495123092613007,415,20.0
CD31,Sham,MS2,pooled,0.44134984571172825,457,20.0
CD34,D1,MS1,pooled,0.5159417028659388,606,20.0
CD34,D1,MS2,pooled,0.5656411717805572,601,20.0
CD34,D3,MS1,pooled,0.4349101951332434,624,20.0
CD34,D3,MS2,pooled,0.5889132553606238,904,20.0
CD34,D7,MS1,pooled,0.5635357639228551,1083,20.0
CD34,D7,MS2,pooled,0.5285775531117146,719,20.0
CD34,Sham,MS1,pooled,0.5014367130676488,496,20.0
CD34,Sham,MS2,pooled,0.3963476626684193,392,20.0
CD140b,D1,MS1,pooled,0.5881422644815503,711,20.0
CD140b,D1,MS2,pooled,0.6151410290589175,860,20.0
CD140b,D3,MS1,pooled,0.5569078742122668,723,20.0
CD140b,D3,MS2,pooled,0.6653306881080309,947,20.0
CD140b,D7,MS1,pooled,0.687586117813436,1056,20.0
CD140b,D7,MS2,pooled,0.7003677249925806,889,20.0
CD140b,Sham,MS1,pooled,0.6479383453712114,451,20.0
CD140b,Sham,MS2,pooled,0.6135037830295565,417,20.0
endothelial_cd31cd34,D1,MS1,pooled,0.6162225533777868,408,20.0
endothelial_cd31cd34,D1,MS2,pooled,0.6208991561688658,475,20.0
endothelial_cd31cd34,D3,MS1,pooled,0.4730629954802585,522,20.0
endothelial_cd31cd34,D3,MS2,pooled,0.6043134221458244,790,20.0
endothelial_cd31cd34,D7,MS1,pooled,0.5628018901488289,1025,20.0
endothelial_cd31cd34,D7,MS2,pooled,0.5657058352606298,570,20.0
endothelial_cd31cd34,Sham,MS1,pooled,0.6399254622276205,291,20.0
endothelial_cd31cd34,Sham,MS2,pooled,0.5055012545406883,243,20.0
CD45,D1,MS1,cortex,0.8,60,40.0
CD45,D1,MS2,cortex,0.9833333333333333,60,40.0
CD45,D3,MS1,cortex,0.6333333333333333,60,40.0
CD45,D3,MS2,cortex,0.8235294117647058,82,40.0
CD45,D7,MS1,cortex,0.8675574308485701,133,40.0
CD45,D7,MS2,cortex,0.9529411764705882,85,40.0
CD45,Sham,MS1,cortex,0.7013888888888888,77,40.0
CD45,Sham,MS2,cortex,0.8148148148148148,27,40.0
CD206,D1,MS1,cortex,0.5677884615384616,132,40.0
CD206,D1,MS2,cortex,0.8658536585365854,82,40.0
CD206,D3,MS1,cortex,0.6470588235294118,51,40.0
CD206,D3,MS2,cortex,0.6336842105263157,132,40.0
CD206,D7,MS1,cortex,0.7606992163954189,163,40.0
CD206,D7,MS2,cortex,0.8865979381443299,97,40.0
CD206,Sham,MS1,cortex,0.5676638176638177,93,40.0
CD206,Sham,MS2,cortex,0.6470588235294118,34,40.0
CD31,D1,MS1,cortex,0.7308184143222507,80,40.0
CD31,D1,MS2,cortex,0.8493150684931506,73,40.0
CD31,D3,MS1,cortex,0.6,50,40.0
CD31,D3,MS2,cortex,0.684469696969697,106,40.0
