endpoint,composite_label,contrast,hedges_g_sigmoid,g_shrunk_neutral_sigmoid,g_pathological_sigmoid,support_sensitive,hedges_g_raw,g_shrunk_neutral_raw,g_pathological_raw,sigmoid_above,raw_above,headline_overlap_status,sign_agree
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd140b,Sham_vs_D7,0.8761395207329139,0.41801495821495066,False,False,3.079232195390863,0.9667285025030357,False,False,True,raw_only,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd140b_cd44,D1_vs_D3,2.959759144562033,0.9562967114507432,False,False,1.9571425718868385,0.789552152824149,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd140b_cd44,D1_vs_D7,1.2532134234587946,0.5705974415726088,False,False,1.2817207165956495,0.5811867212672406,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd140b_cd44,D3_vs_D7,0.6718285914172762,0.32669826712391803,False,False,0.7277409495695283,0.3522121025268259,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd140b_cd44,Sham_vs_D1,0.43676562550462766,0.21580976403379298,False,False,0.47547404480336675,0.23442466680587365,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd140b_cd44,Sham_vs_D3,0.8906374566057733,0.424283922620116,False,False,1.209902817331945,0.5542428685932154,False,False,True,raw_only,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd140b_cd44,Sham_vs_D7,1.130673808389891,0.5235078647220652,False,False,1.3450244340523683,0.604196791214156,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd44,D1_vs_D3,2.2061165710023296,0.8457839930255642,False,False,1.858255337787628,0.7641986543954595,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd44,D1_vs_D7,2.716726160208626,0.9295658932885972,False,False,2.739292149145065,0.9323773349394862,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd44,D3_vs_D7,1.484766017327735,0.6524819952106043,False,False,1.9756710718314558,0.7941088908418247,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd44,Sham_vs_D1,0.1740870432699264,0.08687896040252503,False,False,0.8011496265120408,0.38512548691984894,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd44,Sham_vs_D3,1.8840916820689115,0.7709916380698189,False,False,5.245677707729047,0.9643424833615651,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,activated_endothelial_cd44,Sham_vs_D7,2.5223679016396967,0.9023627833856536,False,False,4.112890091348246,0.9996128258284577,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,activated_m2_macrophage_cd140b_cd44,D1_vs_D3,-0.6372453754031878,-0.3107361712713011,False,True,-0.3335240782105589,-0.16561064855609428,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_m2_macrophage_cd140b_cd44,D1_vs_D7,1.0708814921670573,0.4996301553326846,False,True,0.9430536572763476,0.44669742581253413,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_m2_macrophage_cd140b_cd44,D3_vs_D7,1.1547883862835897,0.5329730168479586,False,True,1.0366992086624987,0.48572283499623126,False,True,False,sigmoid_only,True
vs_sham_mean_delta_lineage_immune,activated_m2_macrophage_cd140b_cd44,Sham_vs_D1,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_m2_macrophage_cd140b_cd44,Sham_vs_D3,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_m2_macrophage_cd140b_cd44,Sham_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_neutrophil_cd44,D1_vs_D3,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_neutrophil_cd44,D1_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_neutrophil_cd44,D3_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_neutrophil_cd44,Sham_vs_D1,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_neutrophil_cd44,Sham_vs_D3,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_neutrophil_cd44,Sham_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd140b,D1_vs_D3,0.6520057003598106,0.3175653099255707,False,False,1.1970764911938938,0.5493383958680967,False,False,True,raw_only,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd140b,D1_vs_D7,,,False,False,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd140b,D3_vs_D7,,,False,False,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd140b,Sham_vs_D1,0.2802309921031229,0.1394311556614843,False,False,0.8108536202971176,0.3894243044543138,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd140b,Sham_vs_D3,0.7656591638049159,0.36929861998896335,False,False,1.5020981327927216,0.6582267957833128,False,False,True,raw_only,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd140b,Sham_vs_D7,,,False,False,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd140b_cd44,D1_vs_D3,1.4068447754534021,0.6259872826751245,False,False,0.8645736212900837,0.4129926325404067,False,True,False,sigmoid_only,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd140b_cd44,D1_vs_D7,6.038385547012951,0.9207996699115591,False,False,2.7069998837507208,0.9283324688132926,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd140b_cd44,D3_vs_D7,2.3003713638754775,0.864325706285649,False,False,2.4213699321622295,0.8860143071019964,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd140b_cd44,Sham_vs_D1,-0.09630657619837285,-0.04812539054233923,False,False,0.6307635189174876,0.30772962728513864,False,False,False,both_below,False
vs_sham_mean_delta_lineage_immune,activated_stromal_cd140b_cd44,Sham_vs_D3,1.1450436660202432,0.5291596779354416,False,False,2.5803449440851858,0.9110510872861554,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd140b_cd44,Sham_vs_D7,4.116236041543811,0.9995898778601328,False,False,6.259537995439574,0.9074783627893949,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd44,D1_vs_D3,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd44,D1_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd44,D3_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd44,Sham_vs_D1,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd44,Sham_vs_D3,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,activated_stromal_cd44,Sham_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,endothelial,D1_vs_D3,3.0644387305553273,,True,False,4.736984067503701,,True,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,endothelial,D1_vs_D7,6.69424610893379,,True,False,9.962164169758868,,True,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,endothelial,D3_vs_D7,1.9458197463530715,0.786737553178328,False,False,6.317724716095205,,True,True,False,sigmoid_only,True
vs_sham_mean_delta_lineage_immune,endothelial,Sham_vs_D1,-0.06199119390974939,-0.030988154165540967,False,False,0.11725814110713101,0.058578731390634624,False,False,False,both_below,False
vs_sham_mean_delta_lineage_immune,endothelial,Sham_vs_D3,0.9604661720840844,0.4540541601645779,False,False,1.4961963428335547,0.656276712473687,False,False,True,raw_only,True
vs_sham_mean_delta_lineage_immune,endothelial,Sham_vs_D7,1.5844621424730028,0.6847834068090861,False,False,2.5720585821022044,0.909839799526164,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,m2_macrophage,D1_vs_D3,,,False,True,,,False,False,False,both_below,True
