family,endpoint,contrast,tp1,tp2,n_mice_1,n_mice_2,insufficient_support,mouse_mean_1,mouse_mean_2,mouse_range_1,mouse_range_2,hedges_g,g_shrunk_skeptical,g_shrunk_neutral,g_shrunk_optimistic,pooled_std,g_pathological,bootstrap_range_min,bootstrap_range_max,n_unique_resamples,n_required_80pct,n_required_skeptical,n_required_neutral,n_required_optimistic,normalization_mode,hedges_g_no_none,clr_none_sensitivity,sham_percentile,normalization_sign_reverse,normalization_g_collapse,normalization_magnitude_disagree,hedges_g_sham_ref,endpoint_axis,min_prevalence_sweep_value,headline_rule_version,unassigned_rate_mouse_mean_1,unassigned_rate_mouse_mean_2,composite_label,support_sensitive,cell_type,stratifier_basis,observed_range,threshold_sensitive,headline_demoted_reason,is_headline
A_interface_clr,endothelial+stromal_clr,Sham_vs_D1,Sham,D1,2,2,False,-0.1404123293122806,0.20897045681540566,0.3240169062959689,0.21178799207569066,1.0315207322873088,0.18646375039784718,0.4835999133895279,0.8038339003023449,0.1935465765346054,False,0.8588221711666908,2.7595857766661847,5,15.0,452.0,68.0,25.0,per_roi_sigmoid,1.0509822840069811,False,60.0,False,False,False,1.4671489180359376,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.3240169062959689,False,,True
A_interface_clr,endothelial+stromal_clr,Sham_vs_D3,Sham,D3,2,2,False,-0.1404123293122806,0.04788302615496512,0.3240169062959689,0.3415077128865599,0.457122390810727,0.08955316729603222,0.22561465559198077,0.3637974268853474,0.23537973230857182,False,0.061871547645877524,1.2664214381898666,5,76.0,1958.0,309.0,119.0,per_roi_sigmoid,0.3845742634981438,False,60.0,False,False,False,0.8332377905112169,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.3415077128865599,False,,False
A_interface_clr,endothelial+stromal_clr,Sham_vs_D7,Sham,D7,2,2,False,-0.1404123293122806,-0.5426245201482969,0.3240169062959689,0.9045526447139929,-0.4784082983764379,-0.09354075042733627,-0.23583067248576062,-0.3805491885700896,0.4804171215268794,False,-3.01391156392312,0.1765838423795956,5,69.0,1795.0,283.0,109.0,per_roi_sigmoid,-0.5365512776544944,False,60.0,False,False,False,-0.42812338496230695,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.9045526447139929,False,,False
A_interface_clr,endothelial+stromal_clr,D1_vs_D3,D1,D3,2,2,False,0.20897045681540566,0.04788302615496512,0.21178799207569066,0.3415077128865599,-0.4581334300189003,-0.08974310178647439,-0.22610075024307097,-0.364593664185255,0.20092391069037915,False,-1.7906925767814832,0.052162276262897246,5,75.0,1950.0,308.0,119.0,per_roi_sigmoid,-0.515561723038346,False,60.0,False,False,False,-0.31918688617590935,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.3415077128865599,False,,False
A_interface_clr,endothelial+stromal_clr,D1_vs_D7,D1,D7,2,2,False,0.20897045681540566,-0.5426245201482969,0.21178799207569066,0.9045526447139929,-0.9245978854801785,-0.17035614931195725,-0.43885109448125564,-0.724200669056788,0.4645077073220992,False,-6.496368845206558,-0.8158109785133703,5,19.0,541.0,82.0,30.0,per_roi_sigmoid,-0.9501732758822663,False,60.0,False,False,False,-1.1574039079101934,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.9045526447139929,False,,True
A_interface_clr,endothelial+stromal_clr,D3_vs_D7,D3,D7,2,2,False,0.04788302615496512,-0.5426245201482969,0.3415077128865599,0.9045526447139929,-0.6979881629716849,-0.13311255560033122,-0.33868149507130013,-0.5516713461148145,0.4834363983555872,False,-3.4896810460923637,-0.46259143114975965,5,33.0,886.0,137.0,52.0,per_roi_sigmoid,-0.7087893212488244,False,60.0,False,False,False,-0.9158077940516814,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.9045526447139929,False,,True
A_interface_clr,endothelial+immune+stromal_clr,Sham_vs_D1,Sham,D1,2,2,False,0.5944840903634856,0.8543318295340228,0.2824181707452564,0.12502211616723635,0.9615197449627707,0.17602965175652968,0.4544978445317136,0.7518385474878951,0.15442680523311905,False,0.7985592248996443,3.6661566023058327,5,17.0,507.0,76.0,28.0,per_roi_sigmoid,0.8372123490589893,False,60.0,False,False,True,0.4405672404637931,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.2824181707452564,False,,False
A_interface_clr,endothelial+immune+stromal_clr,Sham_vs_D3,Sham,D3,2,2,False,0.5944840903634856,1.1351033260625187,0.2824181707452564,0.271982077551602,1.5757890961805008,0.25246736352585136,0.6820449534412366,1.1869481674871696,0.19604481227284645,False,1.5757890961805008,2.8650136580826766,5,7.0,247.0,34.0,12.0,per_roi_sigmoid,1.4285208435822578,False,60.0,False,False,False,1.1787493048530235,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.2824181707452564,False,,True
A_interface_clr,endothelial+immune+stromal_clr,Sham_vs_D7,Sham,D7,2,2,False,0.5944840903634856,1.4354186024177724,0.2824181707452564,0.01634201165532434,3.3973135061645956,0.31541682840305924,0.9868116167584307,2.1092426096152206,0.1414452937640906,False,3.369930903845154,68.68492382117829,5,2.0,158.0,17.0,4.0,per_roi_sigmoid,2.961338653225689,False,60.0,False,False,False,2.0861307664193554,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.2824181707452564,False,,True
A_interface_clr,endothelial+immune+stromal_clr,D1_vs_D3,D1,D3,2,2,False,0.8543318295340228,1.1351033260625187,0.12502211616723635,0.271982077551602,1.0719619615956262,0.19229565190221948,0.5000667363912816,0.8336216522620876,0.1496702876661059,False,0.9171210960859548,3.80972627043557,5,14.0,425.0,63.0,23.0,per_roi_sigmoid,1.1100677672038195,False,60.0,False,False,False,1.3603042276489543,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.271982077551602,False,,True
