focal_cell_type,neighbor_cell_type,timepoint,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,fraction_significant_raw,n_focal_cells,n_rois
endothelial+immune+stromal,endothelial+immune+stromal,D7,0.5150390139147143,0.384801376034297,1.3509881462723294,0.4286127745010091,1.0,5643,6
endothelial+immune+stromal,endothelial+immune+stromal,Sham,0.3092971650621313,0.20297974927341259,1.5004123581960622,0.5715499101733249,1.0,2954,6
endothelial+immune+stromal,endothelial+stromal,D1,0.14754914413745157,0.13344046506926924,1.1163631356244101,0.15356223249067893,0.5,3665,6
endothelial+immune+stromal,endothelial+stromal,D3,0.11256311192738805,0.1075822306905899,1.0479330883427675,0.06601673628938032,0.16666666666666666,4571,6
endothelial+immune+stromal,endothelial+stromal,D7,0.0635144396328192,0.0589903647524077,1.067155577594241,0.06400279315322513,0.5,5643,6
endothelial+immune+stromal,endothelial+stromal,Sham,0.11269455205666278,0.09812928623325044,1.1499428337690716,0.19908043480313034,0.6666666666666666,2954,6
endothelial+immune+stromal,immune,D1,0.046944254381947846,0.060487163991786046,0.7794047018178055,-0.36993208630045255,0.8333333333333334,3665,6
endothelial+immune+stromal,immune,D3,0.037180522178825705,0.04624495340932319,0.789954451024458,-0.3500902425875864,0.8333333333333334,4571,6
endothelial+immune+stromal,immune,D7,0.029220120460778463,0.048057181144598275,0.677237574753769,-0.6414156900566687,1.0,5643,6
endothelial+immune+stromal,immune,Sham,0.05682737701654746,0.0798790153462741,0.7176412688453828,-0.4942568725280008,1.0,2954,6
endothelial+immune+stromal,immune+stromal,D1,0.05593019247558772,0.06296953300937401,0.887224197998472,-0.18316817408674227,0.5,3665,6
endothelial+immune+stromal,immune+stromal,D3,0.07005780846835077,0.07164195969218663,0.9784007948008101,-0.04270698014055141,0.8333333333333334,4571,6
endothelial+immune+stromal,immune+stromal,D7,0.10972859063549519,0.11841313149333932,0.9590761266922069,-0.07256296405494271,0.8333333333333334,5643,6
endothelial+immune+stromal,immune+stromal,Sham,0.07979901270915414,0.08687890555309101,0.9540947031055952,-0.08444958458264552,0.3333333333333333,2954,6
endothelial+immune+stromal,none,D1,0.14052483104912808,0.19982994353696557,0.7104025650797995,-0.5083954453573843,1.0,3665,6
endothelial+immune+stromal,none,D3,0.12751460048643645,0.17607565468236097,0.7219195709329593,-0.47766075024697535,1.0,4571,6
endothelial+immune+stromal,none,D7,0.08334870430445344,0.14442729300980117,0.5684186279662901,-0.8391065034804623,1.0,5643,6
endothelial+immune+stromal,none,Sham,0.17114599574478753,0.24854028979087772,0.6878726041030018,-0.563074494920625,1.0,2954,6
endothelial+immune+stromal,stromal,D1,0.04616963119605716,0.05641653456230667,0.8366256869368381,-0.26771532561056266,0.8333333333333334,3665,6
endothelial+immune+stromal,stromal,D3,0.04337184228318497,0.04625220956565659,0.9257139361988796,-0.11386019828290521,0.3333333333333333,4571,6
endothelial+immune+stromal,stromal,D7,0.02512134267511006,0.026533722494840938,0.9335115222747996,-0.10243699346930708,0.16666666666666666,5643,6
endothelial+immune+stromal,stromal,Sham,0.05454193232393876,0.06364466643377106,0.8767502804283568,-0.2169829329616273,0.5,2954,6
endothelial+stromal,endothelial,D1,0.16094394706151896,0.14668674676706095,1.1048264866759268,0.14217727257092375,0.5,1932,6
endothelial+stromal,endothelial,D3,0.15863869256444324,0.14195323083352904,1.1163965614321865,0.15352556974315032,0.6666666666666666,1548,6
endothelial+stromal,endothelial,D7,0.15756676750105558,0.11308985545627974,1.4867059735930443,0.49605602380151326,0.8333333333333334,864,6
endothelial+stromal,endothelial,Sham,0.16283528069996064,0.13929879749000063,1.2085029829313791,0.2627239484057204,0.6666666666666666,1434,6
endothelial+stromal,endothelial+immune,D1,0.07260678032222197,0.08663199765639128,0.8321156045523327,-0.2822648881200525,0.5,1932,6
endothelial+stromal,endothelial+immune,D3,0.07086628341744654,0.09221247240339832,0.7503250561767287,-0.43658698645630234,1.0,1548,6
endothelial+stromal,endothelial+immune,D7,0.0709583398984349,0.1056870756144359,0.7633197033714553,-0.5389710372930686,0.3333333333333333,864,6
endothelial+stromal,endothelial+immune,Sham,0.07574724834077792,0.08064928987932247,0.9313614844670993,-0.10468105520468762,0.0,1434,6
endothelial+stromal,endothelial+immune+stromal,D1,0.27851706662078574,0.2535376154068462,1.104218502847987,0.1377553060978838,0.5,1932,6
endothelial+stromal,endothelial+immune+stromal,D3,0.3288709184184498,0.3180372887229554,1.0345563002525295,0.047646647329864546,0.16666666666666666,1548,6
endothelial+stromal,endothelial+immune+stromal,D7,0.39907734353460667,0.384801376034297,1.0733164544753293,0.0749237210349835,0.5,864,6
endothelial+stromal,endothelial+immune+stromal,Sham,0.23513589894055173,0.20297974927341259,1.1509248448762384,0.2001157820695977,0.6666666666666666,1434,6
endothelial+stromal,endothelial+stromal,D1,0.19594084641742415,0.13344046506926924,1.4820486318369532,0.5550181859687837,1.0,1932,6
endothelial+stromal,endothelial+stromal,D3,0.16615072768644043,0.1075822306905899,1.6686694571597716,0.6917815839209996,1.0,1548,6
endothelial+stromal,endothelial+stromal,D7,0.163012133090187,0.0589903647524077,3.2589030334944433,1.6106466081853608,1.0,864,6
endothelial+stromal,endothelial+stromal,Sham,0.1384168005055015,0.09812928623325044,1.4411380227267283,0.5208311026727703,1.0,1434,6
endothelial+stromal,immune,D1,0.04032150878578225,0.060487163991786046,0.6723721476826672,-0.5785141440101406,1.0,1932,6
endothelial+stromal,immune,D3,0.028830302533789643,0.04624495340932319,0.6197464909719348,-0.6977945789625025,1.0,1548,6
endothelial+stromal,immune,D7,0.01392782983745332,0.048057181144598275,0.3154434364371817,-1.957634762269379,1.0,864,6
endothelial+stromal,immune,Sham,0.053199780007386684,0.0798790153462741,0.6711139696081557,-0.5958057585603413,1.0,1434,6
endothelial+stromal,immune+stromal,D1,0.045016941083663185,0.06296953300937401,0.7100103366929055,-0.5017986361097743,1.0,1932,6
endothelial+stromal,immune+stromal,D3,0.05145756437376914,0.07164195969218663,0.6712692796673894,-0.6304008240259066,1.0,1548,6
endothelial+stromal,immune+stromal,D7,0.0646843992629322,0.11841313149333932,0.6011904079932825,-0.886044239993534,0.8333333333333334,864,6
endothelial+stromal,immune+stromal,Sham,0.0704249082501925,0.08687890555309101,0.8179226630228499,-0.30244627585445394,0.8333333333333334,1434,6
endothelial+stromal,none,D1,0.1502342411409832,0.19982994353696557,0.7580804568342215,-0.40519439429695686,1.0,1932,6
endothelial+stromal,none,D3,0.14021113390359333,0.17607565468236097,0.792758980140739,-0.3454694789768265,0.8333333333333334,1548,6
endothelial+stromal,none,D7,0.09432553278848349,0.14442729300980117,0.6482550785468645,-0.6428333712324905,1.0,864,6
endothelial+stromal,none,Sham,0.2011166165398821,0.24854028979087772,0.8075965513453527,-0.31020723124712585,1.0,1434,6
endothelial+stromal,stromal,D1,0.05641866856762059,0.05641653456230667,0.9851921366581742,-0.037859892358370895,0.6666666666666666,1932,6
endothelial+stromal,stromal,D3,0.054974377102067894,0.04625220956565659,1.2367436244184173,0.29046438174427386,0.5,1548,6
endothelial+stromal,stromal,D7,0.03644765408684682,0.026533722494840938,1.3851522586762,0.2668487906412009,0.3333333333333333,864,6
endothelial+stromal,stromal,Sham,0.06312346671574694,0.06364466643377106,1.006772415314581,-0.0031687857638314867,0.3333333333333333,1434,6
immune,endothelial,D1,0.11749474245874086,0.14668674676706095,0.7987462801058842,-0.33553289509569967,0.8333333333333334,874,6
immune,endothelial,D3,0.09295369669301166,0.14195323083352904,0.6510732252500392,-0.636427042425407,1.0,668,6
immune,endothelial,D7,0.07175864968364969,0.11308985545627974,0.6189155637220499,-0.7053173023578099,1.0,710,6
immune,endothelial,Sham,0.11280385050803277,0.13929879749000063,0.7904913591246644,-0.3607809844994898,0.6666666666666666,1163,6
immune,endothelial+immune,D1,0.08064684381080352,0.08663199765639128,0.9308362092951571,-0.11218347850919447,0.16666666666666666,874,6
immune,endothelial+immune,D3,0.09462680920251997,0.09221247240339832,1.048962733792853,0.037761463222630375,0.5,668,6
immune,endothelial+immune,D7,0.11135895308395309,0.1056870756144359,1.086969736469764,0.10646213545921716,0.3333333333333333,710,6
immune,endothelial+immune,Sham,0.08299627677640133,0.08064928987932247,1.0389127602604333,0.04634287061901185,0.3333333333333333,1163,6
immune,endothelial+immune+stromal,D1,0.19650975880257246,0.2535376154068462,0.7747839957968564,-0.37745593673613037,0.8333333333333334,874,6
immune,endothelial+immune+stromal,D3,0.25053137479900833,0.3180372887229554,0.8006540507928,-0.32759827959814075,1.0,668,6
immune,endothelial+immune+stromal,D7,0.26295028397528397,0.384801376034297,0.6702492627942251,-0.6467950516420082,1.0,710,6
immune,endothelial+immune+stromal,Sham,0.14159296428217924,0.20297974927341259,0.7135019116473034,-0.5009896113901499,1.0,1163,6
immune,endothelial+stromal,D1,0.09065147548653384,0.13344046506926924,0.6764951565844206,-0.5671118171138567,1.0,874,6
